id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,172.22.224.117,00:15:5d:c1:3e:9b,00:15:5d,59968,3.125.149.81,00:15:5d:94:dd:7e,00:15:5d,80,6,4,0,0,1734833199315,1734833199333,18,2,132,1734833199315,1734833199315,0,1,66,1734833199333,1734833199333,0,1,66,HTTP,Web,1,1,,,,,
1,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,0,58,6,0,0,1734833212316,1734833212317,1,7,930,1734833212316,1734833212317,1,5,758,1734833212317,1734833212317,0,2,172,ICMPV6,Network,0,6,,,,,
2,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,547,fe80::5440:d617:fa87:1f07,08:00:27:e1:e3:8a,08:00:27,546,17,6,0,0,1734833212316,1734833212317,1,6,1100,1734833212316,1734833212317,1,6,1100,0,0,0,0,0,DHCPV6,Network,0,6,,,,,
3,0,192.168.1.112,08:00:27:e1:e3:8a,08:00:27,62576,8.8.8.8,1c:6f:65:c0:43:92,1c:6f:65,53,17,4,0,0,1734833212317,1734833212317,0,2,258,1734833212317,1734833212317,0,1,76,1734833212317,1734833212317,0,1,182,DNS.Microsoft,Network,0,6,www.msftncsi.com,,,,
4,0,192.168.1.112,08:00:27:e1:e3:8a,08:00:27,52234,8.8.8.8,1c:6f:65:c0:43:92,1c:6f:65,53,17,4,0,0,1734833212317,1734833212317,0,2,285,1734833212317,1734833212317,0,1,76,1734833212317,1734833212317,0,1,209,DNS.Microsoft,Network,0,6,www.msftncsi.com,,,,
5,0,192.168.1.112,08:00:27:e1:e3:8a,08:00:27,62804,8.8.8.8,1c:6f:65:c0:43:92,1c:6f:65,53,17,4,0,0,1734833212317,1734833212317,0,2,258,1734833212317,1734833212317,0,1,76,1734833212317,1734833212317,0,1,182,DNS.Microsoft,Network,0,6,www.msftncsi.com,,,,
6,0,192.168.1.112,08:00:27:e1:e3:8a,08:00:27,54926,8.8.8.8,1c:6f:65:c0:43:92,1c:6f:65,53,17,4,0,0,1734833212317,1734833212317,0,2,285,1734833212317,1734833212317,0,1,76,1734833212317,1734833212317,0,1,209,DNS.Microsoft,Network,0,6,www.msftncsi.com,,,,
7,0,192.168.1.112,08:00:27:e1:e3:8a,08:00:27,49159,2.16.4.152,1c:6f:65:c0:43:92,1c:6f:65,80,6,4,0,0,1734833212317,1734833212317,0,6,356,1734833212317,1734833212317,0,3,194,1734833212317,1734833212317,0,3,162,HTTP,Web,1,1,,,,,
8,0,192.168.1.112,08:00:27:e1:e3:8a,08:00:27,49160,2.16.4.112,1c:6f:65:c0:43:92,1c:6f:65,80,6,4,0,0,1734833212317,1734833212317,0,6,356,1734833212317,1734833212317,0,3,194,1734833212317,1734833212317,0,3,162,HTTP,Web,1,1,,,,,
9,0,fd2d:ab8c:225::1,d8:58:d7:00:0f:72,d8:58:d7,0,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,08:00:27:e1:e3:8a,08:00:27,0,58,6,0,0,1734833212317,1734833212317,0,1,86,1734833212317,1734833212317,0,1,86,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
